Date,Sales
2013-01-01,180132207
2013-02-01,171534275
2013-03-01,201180369
2013-04-01,183431432
2013-05-01,185411063
2013-06-01,180702351
2013-07-01,208843882
2013-08-01,198042727
2013-09-01,178053963
2013-10-01,187662330
2013-11-01,196170924
2013-12-01,231710561
2014-01-01,187752787
2014-02-01,178924677
2014-03-01,193019854
2014-04-01,194544977
2014-05-01,194693257
2014-06-01,190047051
2014-07-01,173892707
2014-08-01,163748475
2014-09-01,164516168
2014-10-01,164216398
2014-11-01,173327953
2014-12-01,202120592
2015-01-01,198843730
2015-02-01,178275458
2015-03-01,205631683
2015-04-01,197918886
2015-05-01,189143897
2015-06-01,207363373
2015-07-01,212322616
